Ct,Day,Topic,Spec,Ident,Day 1 Study Guide Question,(A),(B),(C),(D),Ans,Form,Answer
1,1,Topic,Def,DS1.1,Porosity can be defined by which of the following statements?,When KMW is at the shoe,"The amount of void space in the rock, expressed as a percent.",The measure of ease or ability of a rock to transmit a one-phase fluid under conditions of laminar flow.  The unit of porosity is the Darcy.,Pore throat pressure,B,,
2,1,Topic,FormP,DS1.2,"The drilling crew has successfully spaced out, shut down and shut-in the well.   Which pressure do we want to keep the Bottom Hole Pressure (BHP) at least equal to?",At least equal to the drillpipe pressure,At least equal to the formation fluid pressure,Initial circulating pressure,At least equal to the casing pressure,B,,
3,1,Topic,FormP,DS1.3,Which of the following factors can change the value of Shut-in Casing Pressure (SICP) after we shut-in a well during a kick?,Choke line length,SCRP pressure,The formation fluid pressure (pore pressure),Low surface temperatures,C,,
4,1,Topic,FormP,DS1.4,"In order to kill a well, which statement is correct?",Keep BHP 100 psi over Formation Pressure,Keep BHP 100 psi under formation pressure,Keep BHP equal to Casing Shoe Pressure,Keep BHP at least equal to formation pressure,D,,
5,1,Topic,FOSV,DS1.5,Which of the following equipment is used to secure a well while the drilling line is cut and the drillstring is in the well?,Inside Blowout Preventer,Full Opening Safety Valve or Non-Return Valve,Check valve,Secure hanging wire rope in derrick,B,,
6,1,Topic,KT,DS1.6,"The operator's drilling engineer has calculated a kick tolerance of 35 bbls based on a 1 ppg kick intensity. If we recalculate for a kick intensity of 1.5 ppg, what will happen to the maximum allowable kick volume?",Maximum allowable kick volume will increase,Maximum allowable kick volume will decrease,Maximum allowable kick volume would not be affected,Both A and C,B,,
7,1,Topic,MAASP,DS1.7,What can raise the risk of going over the Maximum Allowable Annulus Surface Pressure (MAASP) during a kill operation?,Long open hole section,Short open hole section,Weak casing shoe,No open hole section,A,,
8,1,Topic,MAASP,DS1.8,"While circulating the gas influx inside the casing, if the casing pressure gets close to the Maximum Allowable Annulus Surface Pressure (MAASP), what should we do?","Continue with the kill procedure, but open the choke as needed to maintain casing pressure equal to MAASP, thereby risking additional influx.","Shut-in well, use Volumetric Well Control Method after mobilizing a Well Control provider.","Shut-in well, use the Lube and Bleed Method ","Continue with the correct kill procedure, the increasing MAASP will not cause formation breakdown.",D,,
9,1,Topic,MAASP,DS1.9,"During a well kill operation, which of the following is LEAST likely to cause us to exceed the Maximum Anticipated Annular Surface Pressure (MAASP)?",Increase mud weight,Small difference between formation fracture pressure and drilling fluid hydrostatic pressure.,Short open hole section,None of the above,C,,
10,1,Topic,MAASP,DS1.10,At what point during a kill operation could the choke pressure exceed the Maximum Anticipated Annular Surface Pressure (MAASP) without causing the formation at the shoe to break down?,When performing the pump start-up procedure,When the influx is in the open hole section,When the influx is above the casing shoe.,When the influx is at the choke,C,,
11,1,Topic,MAASP,DS1.11,The greatest pressure at the casing shoe occurs at what point in a well kill circulation?,During the pump start-up,Either at initial shut-in or when influx reaches the shoe.,Only when the top of the influx reaches the shoe.,When gas reaches the choke,B,,
12,1,Topic,MAASP,DS1.12,Which operation affects the Maximum Allowable Annular Surface Pressure (MAASP) and requires that it be recalculated?,After mud weight change,Every 300 to 500 feet drilled,After changing out a swab on the mud pump.,When alternate choke is used,A,,
13,1,Topic,MGS,DS1.13,"Most problems in well control can be recognized early.  For a Mud Gas Separator, what indicators would suggest that blow through was about to occur?",Increasing trend in hydrostatic seal pressure,Loss of mud leg or dip tube,Reduction in flow coming from vent line,Increasing trend in vent line pressure,D,,
14,1,Topic,Shut-in ,DS1.14,"After noting an increase in flow, the crew spaced out, shut down and successfully shut-in the well.  Which of the following statement best describes a crewmember responsibility?",Communicate kill plans and procedures to crewmembers,Calculate the correct kill mud density,Choose which kill method to use,"Check for leaks at the mud pumps, pipework and pit areas",D,,
15,1,Topic,Flow check ,DS1.15,Which statement best describes when a flow check is needed?,Immediately after a 5% decrease in the weight on bit,Immediately after a 5% increase in the rate of penetration,Before the BHA is pulled up through the BOP stack,After the BHA is pulled up to the surface,C,,
16,1,Topic,Barrier,DS1.16,Which of the following well is NOT a wellbore barrier test?,Leak-off Test,Positive Test,Negative Test,Cumulative Pressure Test,A,,
17,1,Topic,Barrier,DS1.17,What is a definition of a negative barrier test?,A test on a barrier where pressure on the formation side of the barrier is greater than the pressure on the surface side of the barrier.,A test on a barrier where pressure on the surface side of the barrier is greater than the formation side of the barrier..,A test to see if the safety valve is holding,Opposite of a positve barrier test,A,,
18,1,Topic,Barrier,DS1.18,"What is the proper definition of a ""negative"" pressure test?",A test where the barrier is made to fail.,A test on a barrier where pressure is reduced to a value lower than the other side of the barrier,A test on a barrier where pressure is increased to a value higher than the other side of the barrier.,The opposite of a positive test,B,,
19,1,Topic,Barrier,DS1.19,"Which of the following statemsnt is a proper example of a ""physical barrier""?",A cement plug,Proper BOP shut-in procedure,Monitoring the trip tank,Monitoring DP and CP at the remote choke,A,,
20,1,Topic,Barrier,DS1.20,"During tripping operations, if an influx is swabbed into the well, what primary type of barrier failed?",Permanent mechanical barrier,Operational barrier,Temporary mechanical barrier,Retrievable mechanical barrier,B,,
21,1,Topic,Barrier,DS1.21,"""Procedural barriers"" can be defined by which of the following statements",Monitoring well for gains and losses,Calculating KMW,Mixing mud,Procedural barriers are those barriers with written operating procedures,A,,
22,1,Topic,Barrier,DS1.22,Procedural barrier can be defined as?,Mud pumped into well  ,Monitoring the well for gains or losses.  ,Running casing in well,Tripping pipe from well,B,,
23,1,Topic,Barrier,DS1.23,"Concerning most rig operations, the API recommends at least two independent barriers to be in place throughout operations.  Which pair of barriers are NOT independent of each other?",Drilling fluid and an annular preventer ,A tubing plug set downhole and a backpressure valve installed in the hanger,An annular and a pipe ram on a BOP stack ,Drilling fluid and a pipe ram ,C,,
24,1,Topic,Barriers,DS1.24,"For most operations, B.S.S.E. always recommends installation of two independent barriers.  Which pair of barriers are NOT independent of each other?",Viscosity and mud weight,Kill mud in the well and the BOP,Annular and a Ram on the BOP stack,Drillpipe Safety Valve and Kill Mud,C,,
25,1,Topic,Plug,DS1.25,A 9.7 ppg brine has been circulated above a plug set from 7500 ft to 7850 ft across a casing shoe. The highest-pressure zone below the plug was drilled with a 10.5 ppg mud. What would happen if is there is communication across the plug?,Well will remain static.,Well will lose circulation,Well will flow,The well will remain static until the brine begins to increase in temperature,C,,
26,1,Topic,Shut-in,DS1.26,If a safety margin is added to the mud weight what is the result?,Cannot be removed easily,Increases MAASP at the shoe,Decreases casing shoe pressure,Decreases MAASP at the shoe,A,,
27,1,Topic,Test,DS1.27,What is the definition of a positive test?,A test on a barrier where the pressure on the formation side of the barrier is equal to the pressure on the surface side of the barrier.,A test on a barrier where the pressure applied to the formation side of the barrier is greater than the pressure on the surface side of the barrier.,A test on a barrier where the pressure on the formation side of the barrier is less than the pressure on the surface side of the barrier.,A test performed on a barrier where gas is injected downhole to test the integrity of the barrier,C,,
28,1,Topic,Barrier ,DS1.28,"Which of the following statements best describes a ""procedural barrier""?",Writing handover notes for your relief,Setting a packer assembly,Actively monitoring the well for gains or losses,Decreasing the rate of penetration,C,,
29,1,Topic,Barrier,DS1.29,Which type of barrier has failed when a kick is swabbed into the wellbore during tripping?,Secondary Hydrostatic barrier,Primary Hydrostatic barrier,Tertiary Hydrostatic barrier,Primary Hydrostatic Pressure,B,,
30,1,Topic,Barrier ,DS1.30,Which type of barrier has failed when a kick is swabbed into the wellbore during tripping?,Primary hydrostatic barrier,Temporary mechanical barrier,Permanent mechanical barrier,Secondary barrier,A,,
31,1,Topic,Barrier ,DS1.31,Which statement is NOT a wellbore barrier verification method?,Leak off test ,Weight set confirmation (Tag top of cement) ,Inflow test (Negative test),Measuring the mud density,A,,
